titre,entreprise,secteur,localisation,competences,experience,contrat,cluster
ExeKutiveDirecteur des Opérations en charge de la restauration,Es Saadi Marrakech Resort,Hôtellerie / Restauration,Marrakech (Maroc),"Emploi - Es Saadi Marrakech Resort Entreprise: Es Saadi Marrakech Resort Secteur: Hôtellerie / Restauration Postes proposés: 16 Description: Situé au coeur du prestigieux quartier de l'Hivernage, le Es Saadi Marrakech Resort incarne l'élégance et le raffinement à la marocaine.

Le complexe s'étale sur 9 hectares de parc luxuriant et se compose d'un hôtel 5 étoiles de 149 chambres. Ouvert depuis 1966, Es Saadi dispose également d'un somptueux Palace abritant 81 suites, ainsi que de 10 villas privées et 8 ksars au charme authentique. Le Resort propose enfin 13 restaurants et bars, deux Spas dont l'un signé Dior, et un pôle... [+] Situé au coeur du prestigieux quartier de l'Hivernage, le Es Saadi Marrakech Resort incarne l'élégance et le raffinement à la marocaine. Le complexe s'étale sur 9 hectares de parc luxuriant et se compose d'un hôtel 5 étoiles de 149 chambres. Ouvert depuis 1966, Es Saadi dispose également d'un somptueux Palace abritant 81 suites, ainsi que de 10 villas privées et 8 ksars au charme authentique. Le Resort propose enfin 13 restaurants et bars, deux Spas dont l'un signé Dior, et un pôle Entertainment. Le Es Saadi Marrakech Resort s'impose comme une référence inco","Lancer 4K ExeKutive Directeur des Opérations en charge de la restauration | Marrakech (Maroc) 1 Le Es Saadi Marrakech Resort recherche un Directeur des Opérations en Restauration pour piloter la stratégie, optimiser la rentabilité et garantir une exp",CDI,6
Inspecteur commercial sédentaire,,,Casablanca (Maroc),"1                        - 10 sur 12 10 25 Page 1 2 sur            
             2 Lancer 4K Inspecteur commercial sédentaire | Casablanca (Maroc) 1 HEOMI, acteur majeur du courtage en assurances, recherche un Commercial Senior Grands Comptes F/H. Votre mission sera de développer et fidéliser un portefeuille de courtiers partenaires, en promouvant nos solutions d'assurance. Vous devez avoir une formation Bac+5, d'excellentes compétences commerciales et relationnelles, ainsi qu'une expérience en assurance. Publication : du 09/04/2026 au 03/06/2026 |  Postes proposés: 1 Secteur d'activité : Centre d'appels Fonction : Assurance (métiers de l') , Commercial / Vente / Export Expérience requise : Intermédiaire (3 à 5 ans) Niveau d'étude demandé : Bac +3 Type de contrat proposé : CDI - Télétravail : Non Lancer 4K Chargé d'affaires - Commercial grands comptes F/H | Casablanca (Maroc) 6 HEOMI recherche un Inspecteur Commercial sédentaire H/F pour développer et fidéliser un portefeuille de courtiers. Vous serez en charge de recruter des partenaires, déployer la stratégie commerciale et promouvoir les produits d'assurance. Profil recherché : Bac+2 à Bac+5 avec minimum 2 ans d'expérience comme","Lancer 4K Inspecteur commercial sédentaire | Casablanca (Maroc) 1 HEOMI, acteur majeur du courtage en assurances, recherche un Commercial Senior Grands Comptes F/H. Votre mission sera de développer et fidéliser un portefeuille de courtiers partenaire",CDI,1
Kinésithérapeute,APEE - Association pour la Promotion de l’Enseignement d’Excellence,Enseignement / Formation,Rabat (Maroc),"Emploi - APEE - Association pour la Promotion de l’Enseignement d’Excellence Entreprise: APEE - Association pour la Promotion de l’Enseignement d’Excellence Secteur: Enseignement / Formation Postes proposés: 2 Description: L'Association pour la Promotion de l’Enseignement d’Excellence « APEE », Association à but non lucratif reconnue d’utilité publique, structure de gestion du « Lycée Mohammed VI d’Excellence » et du « Lycée d'Excellence de Rabat », a pour mission d’assurer la promotion d’un enseignement d’excellence au profit d’élèves marocains issus de la diversité sociale et de favoriser l’accès aux grandes écoles et aux... [+] L'Association pour la Promotion de l’Enseignement d’Excellence « APEE » , Association à but non lucratif reconnue d’utilité publique, structure de gestion du « Lycée Mohammed VI d’Excellence » et du « Lycée d'Excellence de Rabat » , a pour mission d’assurer la promotion d’un enseignement d’excellence au profit d’élèves marocains issus de la diversité sociale et de favoriser l’accès aux grandes écoles et aux universités prestigieuses à l'échelle nationale et internationale. [-] Suivre 1                        - 2 sur 2 Page 1 sur            
             1","Lancer 4K Kinésithérapeute | Rabat (Maroc) 6 Lycée d'Excellence de Rabat recherche un Kinésithérapeute spécialisé en sport de haut niveau pour assurer la prévention, le traitement et la réhabilitation des blessures des élèves sportifs. Le poste requi",CDI,0
Administrateur Système SharePoint,DXC - CDG,Informatique,Technopolis (Maroc),"Emploi - DXC - CDG Entreprise: DXC - CDG Secteur: Informatique Postes proposés: 60 Description: DXC Technology est née en avril 2017 d'une fusion entre CSC (Computer Sciences Corporation), Géant du Conseil et HP Enterprise Services, Leader en Services IT.

Le Groupe DXC enregistre 25 milliards $ de revenus, bénéficie de 60 ans d’expérience et emploie 170.000 collaborateurs dans plus de 70 pays qui servent plus de 6000 clients.

DXC Technology au Maroc, implantée depuis 2007, est une joint-venture entre DXC Technology, leader mondial des services d'intégration & d'infogérance et le Groupe CDG ( Caisse de... [+] DXC Technology est née en avril 2017 d'une fusion entre CSC (Computer Sciences Corporation), Géant du Conseil et HP Enterprise Services, Leader en Services IT. Le Groupe DXC enregistre 25 milliards $ de revenus, bénéficie de 60 ans d’expérience et emploie 170.000 collaborateurs dans plus de 70 pays qui servent plus de 6000 clients. DXC Technology au Maroc, implantée depuis 2007, est une joint-venture entre DXC Technology , leader mondial des services d'intégration & d'infogérance et le Groupe CDG ( Caisse de Dépôt et de Gestion). Avec 1200 collaborateurs répartis sur 2 sites ",Lancer 4K Administrateur Système SharePoint | Technopolis (Maroc) 1 DXC Technology recherche un Administrateur Système SharePoint expérimenté pour gérer et faire évoluer les plateformes SharePoint et Windows Server. Le poste requiert une expertise en,CDI,0
Assistante de Direction,Moore Casablanca,Comptabilité / Audit,Casablanca (Maroc),"Emploi - Moore Casablanca Entreprise: Moore Casablanca Secteur: Comptabilité / Audit Postes proposés: 20 Description: Nous sommes un cabinet d'audit, d’expertise comptable et de conseil, inscrit au tableau de l’Ordre des Experts Comptables du Maroc et membre du réseau Moore Stephens International.

Notre activité s'articule principalement autour du contrôle légal des sociétés, des missions d'audit contractuel, de supervision comptable, de conseil juridique et fiscal.

Nous intervenons également sur des missions à forte valeur ajoutée telles que l'audit d'acquisition, le conseil financier et le conseil en... [+] Nous sommes un cabinet d'audit, d’expertise comptable et de conseil , inscrit au tableau de l’Ordre des Experts Comptables du Maroc et membre du réseau Moore Stephens International. Notre activité s'articule principalement autour du contrôle légal des sociétés, des missions d'audit contractuel, de supervision comptable, de conseil juridique et fiscal. Nous intervenons également sur des missions à forte valeur ajoutée telles que l 'audit d'acquisition, le conseil financier et le conseil en organisation. [-] Suivre 1                        - 10 sur 17 10 25 Page 1 2 sur       ","Lancer 4K Assistante de Direction | Casablanca (Maroc) 4 Cabinet d'audit et de conseil recherche une Assistante de Direction basée au Maroc pour un projet France. Vos missions incluront le support administratif, la gestion d'agenda et la coordination",CDI,2
Juriste,,,Rabat (Maroc),"1                        - 4 sur 4 Page 1 sur            
             1 Lancer 4K Juriste | Rabat (Maroc) 1 SOGEA Maroc recherche un Juriste pour gérer les risques juridiques et sécuriser les actions de l'entreprise, de la phase d'appel d'offres à la clôture des contrats. Vous serez responsable de l'assistance juridique interne, de la rédaction et l'analyse de contrats, et de la gestion contractuelle quotidienne. Titulaire d'un Master en droit et doté d'une solide maîtrise de la gestion contractuelle, vous possédez rigueur, esprit d'analyse et excellentes compétences en communication. Publication : du 09/04/2026 au 09/06/2026 |  Postes proposés: 1 Secteur d'activité : BTP / Génie Civil Fonction : Avocat / Juriste / Fiscaliste Expérience requise : Intermédiaire (3 à 5 ans) Niveau d'étude demandé : Bac +5 et plus Type de contrat proposé : CDI - Télétravail : Non Lancer 4K Contrôleur de gestion ( H/F) | Ain Atiq (Maroc) 4 SOGEA Maroc recrute un Contrôleur de Gestion (H/F) pour suivre et contrôler les coûts de chantier, élaborer les budgets et analyser la rentabilité. Vous serez responsable du suivi des dépenses, de la validation des factures, de la mise en place d'outils de reporting","Lancer 4K Juriste | Rabat (Maroc) 1 SOGEA Maroc recherche un Juriste pour gérer les risques juridiques et sécuriser les actions de l'entreprise, de la phase d'appel d'offres à la clôture des contrats. Vous serez responsable de l'assistance juridique ",CDI,3
Responsable Administration RH,Domino HR Morocco,Autres services,Kénitra (Maroc),"Emploi - Domino HR Morocco Entreprise: Domino HR Morocco Secteur: Autres services Postes proposés: 30 Description: DOMINO RH propose l’ensemble des services RH (intérim, recrutement, conseil, formation, portage, management de transition, évaluation) via ses filiales dédiées. Spécialisé dans chaque domaine du marché (Tertiaire, BTP, logistique, industrie), sa branche médico-sociale est leader national dans le secteur social. Actuellement présent dans 5 pays, son développement international est en forte évolution.

La valorisation de chaque personne est la vocation première de DOMINO RH. Au-delà des mots, le... [+] DOMINO RH propose l’ensemble des services RH (intérim, recrutement, conseil, formation, portage, management de transition, évaluation) via ses filiales dédiées. Spécialisé dans chaque domaine du marché (Tertiaire, BTP, logistique, industrie), sa branche médico-sociale est leader national dans le secteur social. Actuellement présent dans 5 pays, son développement international est en forte évolution. La valorisation de chaque personne est la vocation première de DOMINO RH . Au-delà des mots, le groupe encourage les comportements et initiatives permettant d’établir une confi","Lancer 4K Responsable Administration RH | Kénitra (Maroc) 1 DOMINO RH recrute un Responsable Administration RH à Kénitra pour un client. Le poste consiste à piloter la fonction RH, superviser la paie, la gestion administrative et les relations social",CDI,0
Conseiller Client (F/H) - Service client - Marrakech - Allemand,Concentrix,Centre d'appels,Marrakech (Maroc),"Emploi - Concentrix Entreprise: Concentrix Secteur: Centre d'appels Postes proposés: 282 Description: Nous sommes un leader mondial en matière de technologie et de services qui propulse les marques du futur. Nous aidons des marques connues – celles que vous utilisez quotidiennement – à améliorer leurs activités grâce à la technologie et à des solutions intégrées, dans plus de 70 pays. Dans tout ce que nous faisons, nous croyons qu'il faut agir correctement par et pour les gens : nos acteurs qui changent la donne, nos clients et leurs clients, notre communauté, notre planète. Découvrez la... [+] Nous sommes un leader mondial en matière de technologie et de services qui propulse les marques du futur. Nous aidons des marques connues – celles que vous utilisez quotidiennement – à améliorer leurs activités grâce à la technologie et à des solutions intégrées, dans plus de 70 pays. Dans tout ce que nous faisons, nous croyons qu'il faut agir correctement par et pour les gens : nos acteurs qui changent la donne, nos clients et leurs clients, notre communauté, notre planète. Découvrez la puissance de Concentrix. Découvrez l’interview complète de Fairouz Oulad, People Solutions Director et Ke","Lancer 4K Conseiller Client (F/H) - Service client - Marrakech - Allemand | Marrakech (Maroc) 2 Conseiller Client (H/F) bilingue allemand recherché à Marrakech. Votre rôle sera de répondre aux besoins des clients par téléphone, email ou chat, de réso",,0
Traffic Manager (H/F),ADVERWEB,Communication / Evénementiel,Casablanca (Maroc),"Emploi - ADVERWEB Entreprise: ADVERWEB Secteur: Communication / Evénementiel Postes proposés: 1 Description: ADVERWEB DIGITAL & I.A. est une agence de communication digitale spécialisée dans le conseil stratégique et la mise en place de solutions digitales sur mesure, combinant des mix-médias performants pour aider les marques à atteindre leurs objectifs de visibilité et de conversion. Forte de plus de 10 ans d’expérience, l’agence accompagne ses clients dans leur croissance aussi bien online qu’offline.

Elle s’appuie sur une équipe d’une vingtaine de collaborateurs multi-experts, passionnés par... [+] ADVERWEB DIGITAL & I.A. est une agence de communication digitale spécialisée dans le conseil stratégique et la mise en place de solutions digitales sur mesure, combinant des mix-médias performants pour aider les marques à atteindre leurs objectifs de visibilité et de conversion. Forte de plus de 10 ans d’expérience, l’agence accompagne ses clients dans leur croissance aussi bien online qu’offline. Elle s’appuie sur une équipe d’une vingtaine de collaborateurs multi-experts, passionnés par le digital et animés par une forte culture de la performance, de l’innovation et des résultats.","Lancer 4K Traffic Manager (H/F) | Casablanca (Maroc) 2 ADVERWEB DIGITAL & I.A. recherche un Traffic Manager expérimenté (H/F) pour gérer et optimiser les campagnes digitales de ses clients. Vous définirez des stratégies innovantes, analyserez les per",CDI,0
Ingénieur d’État Chargé d’Affaires en Génie Civil,OTS - Office Of Technical Study,Conseil / Etudes,Maroc (Maroc),"Emploi - OTS - Office Of Technical Study Entreprise: OTS - Office Of Technical Study Secteur: Conseil / Etudes Postes proposés: 2 Description: Chez OTS – Office of Technical Study, nous croyons que l'excellence technique naît de la pluridisciplinarité. Bureau d'études spécialisé en génie civil et bâtiment, nous intervenons sur l'ensemble du cycle de vie des projets : de la conception structurelle et des études d'exécution jusqu'à la coordination de chantier et l'assistance à la maîtrise d'ouvrage.

Nos équipes d'ingénieurs et de techniciens, outillées des dernières technologies —... [+] Chez OTS – Office of Technical Study, nous croyons que l'excellence technique naît de la pluridisciplinarité. Bureau d'études spécialisé en génie civil et bâtiment, nous intervenons sur l'ensemble du cycle de vie des projets : de la conception structurelle et des études d'exécution jusqu'à la coordination de chantier et l'assistance à la maîtrise d'ouvrage. Nos équipes d'ingénieurs et de techniciens, outillées des dernières technologies — BIM, GED, stations de travail haute performance — opèrent sur des projets variés et ambitieux dans les domaines du bâtiment, des infrastructures de transport, de l","Lancer 4K Ingénieur d’État Chargé d’Affaires en Génie Civil | Maroc (Maroc) 2 Nous recrutons un Ingénieur d’État Chargé d’Affaires en Génie Civil expérimenté (min. 10 ans) pour notre bureau d'études. Vous piloterez des projets variés, gérerez la rela",CDI,0
Java Full Stack Developer (H/F),AFD.Tech,Informatique,RABAT (Maroc),"Emploi - AFD.Tech Entreprise: AFD.Tech Secteur: Informatique Postes proposés: 1 Description: AFD.TECH part of Accenture, spécialiste du conseil en IT et Télécommunications, a rejoint le groupe Accenture en 2022. Accenture est le Leader mondial des services aux entreprises et administrations, avec une expertise de pointe dans les domaines du numérique, du cloud, et de la sécurité. C’est aussi une communauté de plus de 730 000 talents et une mission commune : réaliser la promesse technologique alliée à l’ingéniosité humaine. 

En 2025, AFD.Tech, filiale d’Accenture, regroupe plus... [+] AFD.TECH part of Accenture, spécialiste du conseil en IT et Télécommunications, a rejoint le groupe Accenture en 2022. Accenture est le Leader mondial des services aux entreprises et administrations, avec une expertise de pointe dans les domaines du numérique, du cloud, et de la sécurité. C’est aussi une communauté de plus de 730 000 talents et une mission commune : réaliser la promesse technologique alliée à l’ingéniosité humaine. En 2025, AFD.Tech, filiale d’Accenture, regroupe plus de 2000 talents répartis dans 3 pays (France, Belgique et Maroc), pour un chiffre d’affaires annuel de plus de 130M€. ","Lancer 4K Java Full Stack Developer (H/F) | RABAT (Maroc) 1 AFD.Tech part of Accenture recherche un Développeur Java Full Stack (H/F) pour concevoir, développer et supporter des applications Java. Vous interviendrez sur le support L3, la gestion des ",CDI,0
Administration des Ventes - ADV (H/F),Sol30,Centre d'appels,Casablanca (Maroc),"Emploi - Sol30 Entreprise: Sol30 Secteur: Centre d'appels Postes proposés: 6 Description: Le Groupe Solutions30 est le partenaire privilégié des entreprises pour la mise en œuvre des nouvelles technologies numériques en Europe et pour l’assistance aux utilisateurs. Leader européen du marché, le Groupe réalise plus de 80 000 interventions par jour grâce à ses 15 000 techniciens et experts, qui accompagnent nos clients pour faire l’expérience d’un monde numérique et connecté.

Présente au Maroc depuis 2011 et implantée au cœur de Casablanca, Sol30 Maroc est au... [+] Le Groupe Solutions30 est le partenaire privilégié des entreprises pour la mise en œuvre des nouvelles technologies numériques en Europe et pour l’assistance aux utilisateurs. Leader européen du marché, le Groupe réalise plus de 80 000 interventions par jour grâce à ses 15 000 techniciens et experts , qui accompagnent nos clients pour faire l’expérience d’un monde numérique et connecté. Présente au Maroc depuis 2011 et implantée au cœur de Casablanca , Sol30 Maroc est au cœur du dispositif du Groupe en Afrique du Nord. La filiale joue un rôle clé dans : La conduite d’activités techniques. Le service client pour les entre","Lancer 4K Administration des Ventes - ADV (H/F) | Casablanca (Maroc) 8 Rejoignez Solutions30 à Casablanca en tant qu'Administrateur des Ventes (H/F) pour gérer administrativement les commandes, assurer le suivi des livraisons et maintenir une relatio",CDI,0
Achats / Supply Chain                                                                 - Secteur BTP / Génie Civil,,,,"Responsable Achat - Marrakech Achats / Supply Chain                                                                 - Secteur BTP / Génie Civil Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Marrakech et région                                     - Maroc Bac +3 Minimum
                                     - Licence Recherche de nouveauté Respect des règles Distance émotionnelle Rationalisme Besoin d'action CDI Télétravail : Non Publiée il y a 4 jours sur ReKrute.com -
                                Postulez avant le 09/06/2026 J'aime Entreprise : ATM Développement est une société de BTP basée à Marrakech, spécialisée dans les travaux de génie civil et de bâtiment. Nous accompagnons nos clients dans la réalisation de leurs projets avec professionnalisme, respect des délais et maîtrise des coûts, en garantissant une qualité conforme aux normes en vigueur. Poste : Au sein des chantiers d’ATM DÉVELOPPEMENT, le Responsable Achats endosse les responsabilités suivantes : Accompagner les responsables, conducteurs des travaux et Chefs Chantiers dans la planification et la gestion de l’approvisionnement des projets Garantir le","terrain dans le BTP : un must (conducteur de travaux, chef de chantier, approvisionneur terrain, métreur ou technicien)",CDI,5
Assistanat de Direction / Services Généraux- Hôtellerie / Restauration (métiers de)- Secteur Hôtellerie / Restauration								- Service public / Administration,,,,"Agent d'accueil / Réception - Casablanca Assistanat de Direction / Services Généraux - Hôtellerie / Restauration (métiers de) - Secteur Hôtellerie / Restauration								- Service public / Administration Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +2 Minimum Respect des règles Distance émotionnelle Rationalisme Travail en équipe Besoin d'objectivité Flexibilité Implication au travail Organisation CDI Télétravail : Non Publiée il y a 4 jours sur ReKrute.com -
                                Postulez avant le 09/06/2026 J'aime Entreprise : Une grande entreprise leader dans son secteur, recrute un Agent d'accueil / Réception . Poste : Rattaché au Responsable des moyens généraux , vos tâches sont les suivantes: Accueillir et orienter les visiteurs, les clients et les fournisseurs ; Contrôler l'accès au site en vérifiant l’identité des visiteurs ; Répondre au téléphone, informer et rediriger les personnes appelantes ; Tenir informer la direction générale sur les irrégularités constatées ; Gére",,CDI,5
Equity Strategist,Société générale Africa Technologies & Services -SG ATS,Banque / Finance,Casablanca (Maroc),"Emploi - Société générale Africa Technologies & Services -SG ATS Entreprise: Société générale Africa Technologies & Services -SG ATS Secteur: Banque / Finance Description: Rejoignez SG ATS, le centre multi-expertises du Groupe Société Générale en Afrique !

Depuis 2014, nous développons à Casablanca des solutions innovantes pour soutenir les activités du Groupe à l’international. Avec 500 talents passionnés, nous intervenons sur des projets stratégiques en finance, risques, conformité et marchés, en collaboration directe avec les équipes en Europe, aux États-Unis et en Asie.

Chez SG ATS, vous évoluez dans un environnement dynamique, multiculturel... [+] Rejoignez SG ATS , le centre multi-expertises du Groupe Société Générale en Afrique ! Depuis 2014, nous développons à Casablanca des solutions innovantes pour soutenir les activités du Groupe à l’international. Avec 500 talents passionnés, nous intervenons sur des projets stratégiques en finance, risques, conformité et marchés, en collaboration directe avec les équipes en Europe, aux États-Unis et en Asie. Chez SG ATS, vous évoluez dans un environnement dynamique, multiculturel et tourné vers l’innovation. Envie de faire partie de ","Lancer 4K Equity Strategist | Casablanca (Maroc) 3 SG ATS, élu Meilleur Employeur 2025 - Maroc, recherche un Equity Strategist basé à Casablanca. Vos missions incluront le développement de recherches originales, la création et maintenance de modèles ",CDI,0
Chargé(e) de Facturation & Livairson,,,Agadir (Maroc),"1                        - 10 sur 10 10 Page 1 sur            
             1 Lancer 4K Chargé(e) de Facturation & Livairson | Agadir (Maroc) 3 Auto Nejma recrute un(e) Chargé(e) de Facturation & Livraison pour gérer les dossiers de livraison, le suivi administratif et comptable, ainsi que l'immatriculation des véhicules. Vous assurerez une expérience client de qualité et une validation des factures PDR/SAV. Un Bac+3/4 en gestion/comptabilité et une expérience en administration/facturation sont requis, ainsi que rigueur et sens du service. Publication : du 09/04/2026 au 09/06/2026 Secteur d'activité : Automobile / Motos / Cycles Fonction : Gestion / Comptabilité / Finance Expérience requise : Intermédiaire (3 à 5 ans) Niveau d'étude demandé : Bac +3 Type de contrat proposé : CDI - Télétravail : Non Lancer 4K Conseiller(e) Commercial(e) | Agadir (Maroc) 4 Auto Nejma recrute un Conseiller(e) Commercial(e) pour développer et fidéliser une clientèle premium, en proposant des véhicules, financements et services associés. Vous contribuerez à atteindre les objectifs commerciaux et au renforcement de la présence de la marque. Un Bac+5 en commerce/vente, avec une expérience dans l'automobil","Lancer 4K Chargé(e) de Facturation & Livairson | Agadir (Maroc) 3 Auto Nejma recrute un(e) Chargé(e) de Facturation & Livraison pour gérer les dossiers de livraison, le suivi administratif et comptable, ainsi que l'immatriculation des véhicules. Vous",CDI,3
BUSINESS ADMINSTRATOR (ADV / FACTURATION – OTC),SGS Maroc SA,Conseil / Etudes,Mohammédia (Maroc),"Emploi - SGS Maroc SA Entreprise: SGS Maroc SA Secteur: Conseil / Etudes Postes proposés: 9 Description: SGS Maroc est la filiale marocaine de la multinationale suisse SGS S.A, est le leader mondial de l’inspection, du contrôle, de l’analyse et de la certification. Employant plus de 96 000 personnes, SGS exploite plus de 2 700 bureaux et laboratoires à travers le monde.

Fondée en 1951, SGS Maroc propose des services qui couvrent l’inspection, la vérification, l'analyse de la qualité des produits, ainsi que les tests de performance selon des normes qui visent à protéger la santé, la sécurité des... [+] SGS Maroc est la filiale marocaine de la multinationale suisse SGS S.A , est le leader mondial de l’inspection, du contrôle, de l’analyse et de la certification. Employant plus de 96 000 personnes, SGS exploite plus de 2 700 bureaux et laboratoires à travers le monde. Fondée en 1951, SGS Maroc propose des services qui couvrent l’inspection, la vérification, l'analyse de la qualité des produits, ainsi que les tests de performance selon des normes qui visent à protéger la santé, la sécurité des consommateurs, et préserver l’environnement. Les services SGS Maroc se déclinent tout au lon","Lancer 4K BUSINESS ADMINSTRATOR (ADV / FACTURATION – OTC) | Mohammédia (Maroc) 8 SGS Maroc recrute un Business Administrator (ADV / Facturation – OTC) pour gérer le processus Order-to-Cash de bout en bout. Vous assurerez le suivi des prestations, la ",CDI,0
Comptable,Beauty Tech,Cosmétique / Parfumerie / Luxe,Casablanca (Maroc),"Emploi - Beauty Tech Entreprise: Beauty Tech Secteur: Cosmétique / Parfumerie / Luxe Postes proposés: 2 Description: Beauty Tech est une entreprise spécialisée dans les produits cosmétiques, présente sur le marché marocain depuis plus de 10 ans. En misant sur l’excellence, nous avons établi des partenariats avec plusieurs marques de renommée internationale. Aujourd’hui, nous représentons plus de 10 marques destinées aux secteurs professionnels de la beauté et du para-pharmaceutique. Dans le cadre de notre expansion au Maroc et à l’international, nous recrutons pour plusieurs postes afin de soutenir notre... [+] Beauty Tech est une entreprise spécialisée dans les produits cosmétiques, présente sur le marché marocain depuis plus de 10 ans. En misant sur l’excellence, nous avons établi des partenariats avec plusieurs marques de renommée internationale. Aujourd’hui, nous représentons plus de 10 marques destinées aux secteurs professionnels de la beauté et du para-pharmaceutique. Dans le cadre de notre expansion au Maroc et à l’international, nous recrutons pour plusieurs postes afin de soutenir notre développement et concrétiser nos ambitions. [-] Suivre 1                        - 2 su","Lancer 4K Comptable | Casablanca (Maroc) 5 Beauty Tech recherche un(e) Comptable expérimenté(e) pour son site de Casablanca. Vous assurerez la tenue des livres comptables, la préparation des états financiers et participerez aux clôtures. Profil Bac +",CDD,0
Assistante de direction,Cabinet Focus RH,Recrutement / Intérim,Casablanca (Maroc),"Emploi - Cabinet Focus RH Entreprise: Cabinet Focus RH Secteur: Recrutement / Intérim Postes proposés: 3 Description: Focus RH est créé depuis 2006 et engagé auprès d’organisations privées et publiques pour un accompagnement sur mesure dans leur développement évolutif et performatif et en référence à des valeurs d’Engagement, d’Exigence d’Equité via les processus de : 


	Recrutement, Evaluation psycho professionnelle, Assessment Center, Gestion des concours. 
	Formation et perfectionnement des compétences métiers et transversales ou soft skills en faveurs de leurs managers de... [+] Focus RH est créé depuis 2006 et engagé auprès d’organisations privées et publiques pour un accompagnement sur mesure dans leur développement évolutif et performatif et en référence à des valeurs d ’Engagement, d’Exigence d’Equité via les processus de : Recrutement, Evaluation psycho professionnelle, Assessment Center, Gestion des concours. Formation et perfectionnement des compétences métiers et transversales ou soft skills en faveurs de leurs managers de proximité et Top Managers. Coaching des Top Managers et Dirigeants. Conseil et implémentation des outils RH. Etudes et interventions psychosociologi","Lancer 4K Assistante de direction | Casablanca (Maroc) 2 Casablanca Open Space recherche une ASSISTANTE de DIRECTION à Casablanca pour soutenir l'équipe dirigeante dans les opérations quotidiennes. Vos missions incluront la gestion d'agenda, la commu",CDI,0
Ingénieur Procédés industriels,Lesieur Cristal,Agroalimentaire,Casablanca (Maroc),"Emploi - Lesieur Cristal Entreprise: Lesieur Cristal Secteur: Agroalimentaire Postes proposés: 3 Description: Pionnier au Maroc et acteur de référence agro-industriel régional, Lesieur Cristal accompagne depuis près de 80 ans la modernisation des filières oléicole et oléagineuse au Maroc.

L’entreprise se positionne également comme le levier de développement du groupe Avril sur le continent africain, capitalisant sur son savoir-faire historique afin de valoriser de nombreuses opportunités de croissance dans le domaine des produits de grande consommation.

Intervenant de la graine jusqu’au produit final, Lesieur... [+] Pionnier au Maroc et acteur de référence agro-industriel régional, Lesieur Cristal accompagne depuis près de 80 ans la modernisation des filières oléicole et oléagineuse au Maroc. L’entreprise se positionne également comme le levier de développement du groupe Avril sur le continent africain, capitalisant sur son savoir-faire historique afin de valoriser de nombreuses opportunités de croissance dans le domaine des produits de grande consommation. Intervenant de la graine jusqu’au produit final, Lesieur Cristal dispose d’un dispositif industriel puissant : trois sites d","Lancer 4K Ingénieur Procédés industriels | Casablanca (Maroc) 1 Nous recrutons un Ingénieur Procédés industriels expérimenté (minimum 5 ans) pour superviser la prévention des risques industriels sur tous nos sites au Maroc, basé à Casablanca avec dép",CDI,0
Assurance (métiers de l')- Banque (métiers de la)- Secteur Assurance / Courtage								- Banque / Finance,,,,"Comptable Technique - Casablanca Assurance (métiers de l') - Banque (métiers de la) - Secteur Assurance / Courtage								- Banque / Finance Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur                                     - Ecole de commerce Conventionnel Volonté de persuasion Rationalisme Flexibilité Besoin d'autonomie Implication au travail Organisation CDI Télétravail : Non Publiée il y a 5 jours sur ReKrute.com -
                                Postulez avant le 08/06/2026 J'aime Entreprise : Acteur de référence dans le secteur des assurances au Maroc, notre compagnie œuvre depuis plusieurs années pour offrir des solutions d’assurance et de réassurance innovantes, fiables et adaptées aux besoins de nos clients Poste : Assurer la gestion du dossier financier et statistique Garantir la fiabilité des données comptables techniques Suivre et analyser les opérations liées à la comptabilité des assurances Participer à l’élaboration des reportings financiers Veiller au resp",,CDI,5
Audit / Conseil- Gestion / Comptabilité / Finance- Secteur BTP / Génie Civil								- Import / Export / Négoce,,,,"Contrôleur de Gestion industriel  H/F - Meknès Audit / Conseil - Gestion / Comptabilité / Finance - Secteur BTP / Génie Civil								- Import / Export / Négoce Junior (1 à 3 ans) 1 poste(s) sur                                                                            Meknès et région                                     - Maroc Bac +3 Minimum
                                     - Master Respect des règles Conventionnel Besoin de réflexion Organisation CDI Télétravail : Non Publiée il y a 5 jours sur ReKrute.com -
                                Postulez avant le 01/06/2026 J'aime Entreprise : Groupe industriel et commercial d'envergure nationale, reconnu pour son expertise dans divers secteurs stratégiques, recherche à renforcer ses équipes dans le cadre de son développement continu. Fort d'une présence établie sur le marché marocain, le groupe se distingue par son engagement envers l'excellence, l'innovation et la durabilité. Nous offrons un environnement stimulant, propice à l'évolution professionnelle, au sein d'une structure valorisant la performance et la collaboration. Poste : Vous recherchez un poste stimulant dans un secteur dynamique ? Rejoignez notre entreprise leader da",s professionnelles dans un poste similaire : 3 ans ou plus.,CDI,5
