Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Enseignantes de français (primaire),Ecole CLAPAREDE,Education / Social / Petite Enfance,Casablanca,-experience exigee dans le,exigee dans le,A discuter,30 Apr-10:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362800/Enseignantes-de-français-(Primaire).html
Chauffeur camion assistante de direction,GOLD LERA,Autre,Temara,"-longue experience confirmee en conduite de camions . -permis poids lourd (toutes categories / tous risques) exige. -serieux, ponctuel et responsable. residant a temara. 2/ assistante de direction (femme)","confirmee en conduite de camions . -permis poids lourd (toutes categories / tous risques) exige. -serieux, ponctuel et responsable. residant a temara. 2/ assistante de direction (femme)",A discuter,30 Apr-10:35,"https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367523/Chauffeur-camion-,-assistante-de-direction.html"
Technicien polyvalent تقني متعدد المهام,,Maintenance / Entretien,Marrakech,,,A discuter,30 Apr-10:32,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372210/technicien-polyvalent-تقني-متعدد-المهام.html
Conducteur de travaux menuiserie aluminium,---,Autre,Casablanca,"requises - connaissance menuiserie aluminium et facades. - lecture de plans. - methodes de pose. - encadrement equipes chantier. - coordination sous-traitants. - leadership, organisation, reactivite. - excel, autocad (lecture), ms project, erp.",de 3 a 10 ans,CDI,30 Apr-10:32,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366826/Conducteur-de-Travaux-Menuiserie-Aluminium.html
Technicien plombier tata,Anonyme,Construction / Btp,Zagora,,"equivalente experience en chantier souhaitee serieux, autonomie et sens du travail en equipe budget : 5 000 dhs logement : sur place",Interim,30 Apr-10:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371474/Technicien-Plombier-TATA.html
Daf,,Comptabilité / Gestion / Audit,Casablanca,"formation bac+5 en finance, comptabilite, gestion, audit ou droit des affaires, avec une experience confirmee de plus de 15 ans dans une",confirmee de plus de 15 ans dans une,CDI,30 Apr-10:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372203/DAF.html
طنجة إعلان توظيف عامل/ة فالكابلاج,Confidentiel,Industrie / Ingénierie / Energie,Tanger,,,CDI,30 Apr-10:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372200/طنجة-إعلان-توظيف-–-عاملة-فالكابلاج.html
Boulanger /,confidentiel,Grande Distribution,Marrakech,,mimimum de 3 ans,CDI,30 Apr-10:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10318003/Boulanger-marrakech.html
Offre d’emploi hôtellerie / restauration marra,Proman Maroc,Tourisme / Hôtellerie / Restauration,Marrakech,experience exigee en hotellerie/restauration ou poste similaire sens du service et bon relationnel presentation soignee et professionnalisme esprit dequipe et capacite dadaptation pour les postes en reception : maitrise du francais (langlais est un atout),exigee en hotellerie/restauration ou poste similaire sens du service et bon relationnel presentation soignee et professionnalisme esprit dequipe et capacite dadaptation pour les postes en reception : maitrise du francais (langlais est un atout),Interim,30 Apr-10:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372205/Offre-d’emploi-–-Hôtellerie-Restauration-–-Marra.html
Enseignants éducatrices et professeurs,école privée,Education / Social / Petite Enfance,Casablanca,,,A discuter,30 Apr-10:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363583/enseignants-éducatrices-et-professeurs.html
Agent s.a.v,ABN SOFT,Comptabilité / Gestion / Audit,Casablanca,,"professionnelle, de 1 a deux ans, idealement dans un cabinet professionnel comptable, est souhaitable. la maitrise du logiciel synergie serait un plus. si votre profil correspond a ces caracteristiques, merci denvoyer votre cv et lettre de motivation via ce site marocannonces sous lobjet: recrutement agent de support comptable",A discuter,30 Apr-10:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362789/Agent-SAV.html
Chargé d’exploitation transport (h/f),Confidentiel,Transport / Achat / Logistique,Tanger,informatiques : maitrise du pack office et des outils de gestion lies au transport/logistique,minimum 2 ans dans un poste similaire (obligatoire) dans une societe de transport international.,CDI,30 Apr-10:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371502/Chargé-d’exploitation-Transport-(HF).html
Employé polyvalent,Riad / Maison d'hote,Tourisme / Hôtellerie / Restauration,Marrakech,,,A discuter,30 Apr-10:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369868/Employé-polyvalent.html
Coordinateur pédagogique,Ihb art media,Services aux Entreprises / Formation,Casablanca,,dans la,CDI,30 Apr-10:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365978/Coordinateur-pédagogique.html
صباغ ديال الحيط,Confidentiel,Construction / Btp,Rabat,,,Interim,30 Apr-10:12,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372186/صباغ-ديال-الحيط.html
Infirmier(ère) en intérim,Manpower maroc,Santé / Médical,Casablanca,,"en milieu industriel, afin dassurer la prise en charge de la sante des collaborateurs et de contribuer activement a la prevention des risques professionnels. rattachement hierarchique rattache(e) au medecin du travail.",Interim,30 Apr-10:12,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363367/Infirmier(ère)-en-intérim-CASABLANCA.html
Superviseur (expérience minimum 1 an),prestation de service,Ressources Humaines / Recrutement / Intérim,Casablanca,"experience minimum dun an dans un poste similaire bon sens de lorganisation et de la gestion des priorites leadership et esprit dequipe excellentes capacites de communication reactivite et sens de linitiative maitrise des outils informatiques - pour les interesses, merci de nous envoyer votre candidature. candidature. salutations.",", capable dencadrer une equipe et dassurer le bon deroulement des operations.",CDD,30 Apr-10:12,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10349061/Superviseur-(Expérience-minimum-1-an).html
Chargé(e) des achats spécialité Électrique,Artus,Autre,Casablanca,- experience confirmee en achat de materiel electrique (exigee) - bonne maitrise du courant fort et courant faible - sens de la negociation & organisation,confirmee en achat de materiel electrique (exigee) - bonne maitrise du courant fort et courant faible - sens de la negociation & organisation,CDI,30 Apr-10:12,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372184/Chargé(e)-des-Achats-–-Spécialité-Électrique.html
Chargé de caisse avancé (h/f),prestation de service,Banque / Finance / Assurance,Casablanca,"diplome bac+3 a bac+5 en finance, gestion, commerce ou equivalent experience souhaitee dans un poste similaire maitrise des outils informatiques et logiciels de caisse rigueur, sens de lorganisation et esprit dequipe bon relationnel et sens du service client nous offrons : environnement de travail dynamique opportunites devolution professionnelle remuneration attractive selon profil avantages sociaux candidature : pour les interesses, merci de nous envoyer votre candidature. salutations.","souhaitee dans un poste similaire maitrise des outils informatiques et logiciels de caisse rigueur, sens de lorganisation et esprit dequipe bon relationnel et sens du service client nous offrons : environnement de travail dynamique opportunites devolution professionnelle remuneration attractive selon profil avantages sociaux candidature : pour les interesses, merci de nous envoyer votre candidature. salutations.",CDD,30 Apr-10:12,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371632/Chargé-de-caisse-avancé-(HF).html
Chargé de caisse hadsoualem,prestation de service,Banque / Finance / Assurance,Had Soualem,,dans le,A discuter,30 Apr-10:12,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371113/Chargé-de-caisse-hadsoualem.html
Chargée de clientèle arabophone (f),CL,Commercial / Vente,Casablanca,"energie positive naturelle et attitude motivee excellent relationnel et esprit dequipe personne proactive, serieuse et impliquee ce que nous valorisons avant tout : - la motivation - lenvie dapprendre - une vraie energie dans la communication nous offrons : environnement de travail stimulant",,CDI,30 Apr-10:12,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10357811/Chargée-de-Clientèle-Arabophone-(F).html
Commis de rang / chef de rang / barman,HOTEL RIAD MARRAKECH,Tourisme / Hôtellerie / Restauration,Marrakech,"experience souhaitee dans un poste similaire bonne presentation et sens du service dynamique, serieux(se) et ponctuel(le) capacite a travailler en equipe maitrise du francais (langlais est un plus)","souhaitee dans un poste similaire bonne presentation et sens du service dynamique, serieux(se) et ponctuel(le) capacite a travailler en equipe maitrise du francais (langlais est un plus)",,30 Apr-10:11,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366745/COMMIS-DE-RANG-CHEF-DE-RANG-BARMAN.html
Commercial en immobilier,TAGANA,Immobilier,Marrakech,,"minimum et obligatoire dans la commercialisation de biens immobiliers. - excellente maitrise du marche immobilier a marrakech. - tres bon relationnel, force de proposition et rigueur. - maitrise des outils crm et techniques de negociation.",CDI,30 Apr-10:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365167/COMMERCIAL-EN-IMMOBILIER.html
Assistant administratif (h/f) tÉtouan,LE BERGER,Industrie / Ingénierie / Energie,Tetouan,"bac+3 en gestion, comptabilite ou equivalent. minimum 3 ans d'experience dans un poste similaire. maitrise pack office et outils comptables. organisation rigoureuse, francais/arabe courant, sens du relationnel. conditions : cdi","dans un poste similaire. maitrise pack office et outils comptables. organisation rigoureuse, francais/arabe courant, sens du relationnel. conditions : cdi",CDI,30 Apr-10:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363560/ASSISTANT-ADMINISTRATIF-(HF)-TÉTOUAN.html
Assistante de direction,Confidentiel,Autre,Marrakech,"bac+2 / bac+3 en assistanat de direction, gestion ou comptabilite experience de 2 ans minimum dans un poste similaire bonnes connaissances en comptabilite excellente maitrise du francais (ecrit et oral) maitrise des outils bureautiques (excel, word) rigueur, sens de lorganisation et discretion bon relationnel et capacite a gerer plusieurs taches - conditions : poste base a marrakech (gueliz)","de 2 ans minimum dans un poste similaire bonnes connaissances en comptabilite excellente maitrise du francais (ecrit et oral) maitrise des outils bureautiques (excel, word) rigueur, sens de lorganisation et discretion bon relationnel et capacite a gerer plusieurs taches - conditions : poste base a marrakech (gueliz)",CDI,30 Apr-9:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371739/Assistante-de-direction-Marrakech.html
Night auditor,Multinational,Tourisme / Hôtellerie / Restauration,Marrakech,"- bac+2 en hotellerie, gestion ou equivalent - experience en reception ou en audit de nuit souhaitee - bonne maitrise des outils informatiques et logiciels hoteliers - sens de lorganisation, autonomie et rigueur - maitrise du francais et de langlais - capacite a travailler en horaires de nuit","en reception ou en audit de nuit souhaitee - bonne maitrise des outils informatiques et logiciels hoteliers - sens de lorganisation, autonomie et rigueur - maitrise du francais et de langlais - capacite a travailler en horaires de nuit",Interim,30 Apr-9:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372162/Night-Auditor-–-Marrakech.html
Vendeur détail à,Confidentiel,Grande Distribution,Agadir,,probante dans le,A discuter,30 Apr-9:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362674/Vendeur-détail-à-Agadir.html
Agent de sécurité incendie ssiap 1 /,Multinational,Sécurité / Surveillance / Gardiennage,Casablanca,"ssiap 1 en cours de validite (obligatoire) carte professionnelle cnaps valide sst a jour apprecie bonne presentation et sens du service rigueur, reactivite et esprit dequipe.",,CDD,30 Apr-9:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10308717/Agent-de-Sécurité-Incendie-SSIAP-1-Casablanca.html
